subdivisions,n_vertices,h_mean,MAE,Linf,RMSE
2,162,0.29933207531855877,0.045047661645225015,0.09656983438267552,0.045521869018412084
3,642,0.1507297051948821,0.023068117967449,0.05067522538828717,0.023198316379463766
4,2562,0.07549909830150697,0.013233492016479267,0.02920583349718564,0.013366076057487247
5,10242,0.03776637041792051,0.008649399384881837,0.018870561315910805,0.008856110150538209
6,40962,0.01888528913724259,0.006462502857943954,0.013805848897737949,0.006748134863053568
