subdivisions,n_vertices,n_faces,nnz_L,t_mesh_s,t_assembly_s,t_solve_s,t_eig_s,peak_mem_mb
2,162,320,1122,0.010480307000079847,0.004314361000069766,0.0024459740000111196,0.05293213100003413,0.211923
3,642,1280,4482,0.046025580999980775,0.00520518100006484,0.0052495880000833495,0.06825874600008319,0.898615
4,2562,5120,17922,0.2115726539999514,0.00822336200008067,0.017201422000084676,0.1332153629999766,4.129913
5,10242,20480,71682,0.9175680649999549,0.020623210999929142,0.17361914200000683,0.5308637620000809,16.369534
6,40962,81920,286722,3.6185331190000625,0.19867887199995948,1.4175973879999901,11.122505167999975,65.519027
