n_vertices,n_edges,n_faces,euler_characteristic,mean_edge_length,min_edge_length,max_edge_length,subdivisions,d2_residual,total_area,area_error_vs_4pi
162,480,320,2,0.29933207531855877,0.2759044842552674,0.3249196962329064,2,0.0,12.329848595234669,0.23652201912450366
642,1920,1280,2,0.1507297051948821,0.13828317354716763,0.1646471600639204,3,0.0,12.506492733969928,0.05987788038924435
2562,7680,5120,2,0.07549909830150697,0.06918299036149893,0.08260396653395066,4,0.0,12.551353880096112,0.015016734263060272
10242,30720,20480,2,0.03776637041792051,0.03459667179102502,0.04133725597395912,5,0.0,12.56261346805837,0.003757146300802816
40962,122880,81920,2,0.01888528913724259,0.017298983008106804,0.02067304414009293,6,0.0,12.565431142476392,0.0009394718827806514
